id,slug,title,year,cns_rating,mpaa_rating,synopsis,full_review,letter,source_file,is_redirect
1,armored,ARMORED,2009,A-III,PG-13,"Negligible heist flick about six guards employed by a Los Angeles armored car company who attempt to pull an inside job, during which only an Iraq War hero (Columbus Short) exhibits scruples and smarts; his greedy colleagues, led by his godfather (Matt Dillon), instead demonstrating the old adage about the paucity of honor among thieves. Working from a flimsy script, director Nimrod Antal keeps the nondescript action moving along without undue complications. Considerable, though not excessive, action violence, including gunplay and knife use, some profanity, much crude language","Guards employed by a Los Angeles armored car company demonstrate the old adage about the paucity of honor among thieves in the negligible “Armored” (Screen Gems). The pleasures of a good heist flick are well concealed, in this addition to the genre, behind a flimsy script, mediocre acting, and dull action sequences.

The newest employee to join the security outfit Eagle Shield is Iraq War hero Ty Hackett (Columbus Short) whose parents have recently died, leaving him with considerable debts and a teenage brother with a talent for graffiti art to mentor.

Ty’s colleague and godfather Mike Cochrone (Matt Dillon) urges him to participate in an inside job along with four fellow guards – Mike’ s trigger-happy brother-in-law Baines (Laurence Fishburne), Quinn (Jean Reno), Dobbs (Skeet Ulrich), and a Born-again Christian named Palmer (Amaury Nolasco).

Ty reluctantly agrees because he’s desperate for money to pay the two mortgages on his house – the bank is threatening to foreclose – and wants to keep his little brother out of the clutches of Child Services.

Mike’s plan, such as it is, entails stealing $42 million by staging the fake hijacking of two cars transporting funds from the local Federal Reserve branch. Sure enough, things quickly go awry in the abandoned steel plant where the crew endeavors to stash the dough. When blood is spilt, Ty is the only character to exhibit scruples or a modicum of smarts. Arguably, the behavior of his ostensibly salvation-seeking cohort Palmer is the most damnable.

At least director Nimrod Antal keeps this nondescript effort moving along without undue complications. Set in an empty industrial sector of the city, the gray ghost of a production lacks atmosphere and flare. James V. Simpson’s thin screenplay only gestures at a theme concerning working stiffs or regular Joes – ex-servicemen like Ty – getting their shot at a slice of society’s financial pie.

One thing’s for sure, the system owes them more than “Armored” can deliver.

The film contains considerable, though not excessive, action violence, including gunplay and knife use, some profanity and much crude language. The USCCB Office for Film & Broadcasting classification is A-III – adults. The Motion Picture Association of America rating is PG-13 – parents strongly cautioned. Some material may be inappropriate for children under 13.",a,a/ARMORED.shtml,0
2,alienspredatorrequiem,Aliens vs. Predator: Requiem,2007,L,R,"Limp sequel to 2004's ""Alien vs. Predator,"" set in a remote Colorado town having the misfortune to be near where a Predator spacecraft full of the slimy, fast-breeding, insectlike aliens (seen in five previous films) crash-lands. Directing brothers Colin and Greg Strause and screenwriter Shane Salerno opt for stale, predictable chaos rather than originality, and the Predator, a rogue warrior whose powers include invisibility, is reduced to plodding through a sewer. Brief partial nudity; rough, crude and profane language, nearly all of it by fighting teenagers; a very brief attempted seduction by a teenage girl; and aliens who, as expected, pop out of a couple of rubbery human midsections; but most of the gore consists of special-effects blood splashing on windows","Toward the end of ""Aliens vs. Predator: Requiem"" (20th Century Fox), the residents of a small town, having been menaced for nearly 90 minutes by rapidly breeding, human-impaling aliens, find a nuclear missile coming their way to liven things up. An atomic explosion as plot relief indicates how stale the ""Predator/Alien"" franchise (two of this combo so far, with another on the way) has become.
Directing brothers Colin and Greg Strause and screenwriter Shane Salerno opt for predictable chaos without irony or a shred of wit, and the Predator, a rogue warrior whose powers include invisibility, is reduced to plodding through a sewer and down hospital hallways. Even the aliens -- those slimy, insectlike creatures who scamper about, use humans as breeding hosts, then pop out of rubbery midsections -- look bored in their sixth outing.
They wouldn't have made it to earth this time around, anyway, except that the critters get loose on a Predator ship that falls from outer space into a Colorado forest. A lone Predator armed with high-powered weapons and lots of bright-blue acid to erase his tracks soon arrives as well; he's sort of an intergalactic Dirty Harry looking for vengeance. He doesn't see his mission as saving people, though, and anytime he encounters earthlings he tends to skin 'em alive.
The only actor of note is Reiko Aylesworth as Kelly, a muscle-shirted homage to Sigourney Weaver's character, Ellen Ripley, in the original ""Aliens."" She fights the creatures while protecting her daughter, Molly (Ariel Gade), but there's no big smackdown with a toothy queen. Instead, the Predator and a rather large alien face off like a couple of tired professional wrestlers.
The film contains brief partial nudity; rough, crude and profane language, nearly all of it by fighting teenage boys; a very brief attempted seduction by a teenage girl; and aliens, as they always do, popping out of a couple of people and the Predator leaving behind a skinned corpse; but most of the gore consists of syrupy special-effects blood splashing on windows. The USCCB Office for Film & Broadcasting classification is L -- limited adult audience, films whose problematic content many adults would find troubling. The Motion Picture Association of America rating is R -- restricted. Under 17 requires accompanying parent or adult guardian.",a,a/AliensPredatorRequiem.shtml,0
3,aaronlovesangela,Aaron Loves Angela,1975,O,R,The story of a teenage romance between a black youth (Kevin Hooks) and a Puerto Rican girl (Irene Cara) is told in a lifeless movie that tries to get too much mileage out of the charm of its two young principals. Director Gordon Parks Jr.'s absurdly melodramatic conclusion involves violence between a brutal but soft-hearted heroin pusher (Robert Hooks) and some syndicate types,,a,a/aaronlovesangela.shtml,0
4,aaronslickfrompunkincrick,Aaron Slick from Punkin Crick,1952,A-II,,"Lackluster musical comedy set in the 1890s with a country lass (Dinah Shore) off to Chicago after selling her farm to a slick operator (Robert Merrill) who expects to strike oil but doesn't, then schemes to get his money back until her rural beau (Alan Young) comes to town. Director Claude Binyon's broad, tongue-in-cheek tale of rural folk outsmarting city slickers lacks charm and has little appeal beyond cornball humor and forgettable songs. Romantic complications and confidence schemes",,a,a/aaronslickfrompunkincrick.shtml,0
5,aaronsmagicvillage,Aaron's Magic Village,1997,A-I,G,"Animated version of Isaac Bashevis Singer's stories about a Jewish village in Poland which becomes threatened by a wicked sorcerer's Golem until an orphaned lad helps save the hamlet and its foolish residents. Directed by Albert Hanan Kaminski and narrated by Fyvush Finkel, the humorous tale conveys the distinctive flavor of Jewish culture and tradition, though the story tends to drag in between lively musical numbers",,a,a/aaronsmagicvillage.shtml,0
6,abandon,Abandon,2002,A-III,PG-13,"Gloomy, plodding, campus thriller about a student (Katie Holmes), her missing boyfriend and an investigating detective (Benjamin Bratt) that occasionally strikes an intelligent chord and real suspense before falling off into a draggy lull. As directed by Stephen Gaghan, the film walks a fine line between a stylized slasher-style movie and a moody detective story, ultimately offering little resolution as a hollow psychodrama and failing to develop richer themes about bright young students. Some violence, a few sexual encounters, brief substance abuse and minimal profanity","""Abandon"" is a gloomy, plodding college campus thriller that occasionally strikes an intelligent chord and rivets into real suspense before falling off into a draggy lull. The film walks a fine line between a stylized teen slasher-style movie and a moody detective story. It ultimately offers little resolution as a hollow psychodrama and fails at developing richer themes about bright young students.

Writer-director Stephen Gaghan, who won an Academy Award for his screenplay for ""Traffic,"" mindfully captures an atmosphere of the anxious, uncertain tension of a young woman (Katie Holmes). She is days away from her final exam, does not yet have the conclusion to her thesis, and has just applied to one of the top investment firms in the country. To make her life even more nerve-wracking, she is the central figure in the investigation of her missing boyfriend (Charlie Hunnam) by a persistent and handsome detective (Benjamin Bratt).

""Abandon"" attempts to portray interesting college students. Embry Larkin (Hunnam), the missing boyfriend, is a mercurial young man with innovative artistic tendencies. He produced his own opera and experimental theater. Harrison Hobart (Gabriel Mann) organizes demonstrations against ""globalization."" And Katie Burke (Holmes) is a very attractive, driven, self-assured young woman who came from a working-class background and knows how to dazzle a group of corporate recruiters with a steely confidence and self-understanding that is a rarity among most people.

Police detective Wade Handler (Bratt) carries a certain intrigue. His father was a teacher, and he seems to be very well read, as his bookshelves are filled with classic literature. But these details, as well as the fact that he is a semi-recovered alcoholic who has sabotaged his relationship with a woman with whom he once built a log cabin, seem to be window dressing. ""Abandon"" floats between the mystery and the not-so-mysterious about the missing Embry Larkin and poses the questions: Who is terrorizing Katie Burke, who will snap under academic and peer pressure, and who will turn up missing next?

It is ironic ""Abandon"" never probes very deeply into who Katie Burke, its central character, is. She even attends therapy sessions where her doctor ultimately tries to seduce her. The only thing that seems to be revealed about Katie is that most men are extremely attracted to her. There is reference and vague flashback sequences that show how Katie was abandoned by her father when she was a little girl. This is the film's key theme, but does not properly come to a dramatic conclusion.

Because of sexual encounters between college students and others, mild language, violence, use of marijuana, and one instance of heavy drinking, the U.S. Conference of Catholic Bishops classification is A-III -- adults. The Motion Picture Association of America rating is PG-13 -- parents strongly cautioned. Some material may be inappropriate for children under 13. (2002)",a,a/abandon.shtml,0
7,abandonship,Abandon Ship!,1957,A-II,,Taut moral exercise in life and death decisions face an officer (Tyrone Power) of a sunken ocean liner who must choose which of 27 survivors should have a place in a lifeboat designed to hold 14 people. Writer-director Richard Sale develops the hazards of the open sea realistically while providing a human dimension for each survivor with harrowing consequences for all. Much menace and stylized violence,,a,a/abandonship.shtml,0
8,abbottandcostellogotomars,Abbott and Costello Go to Mars,,,,,,a,a/abbottandcostellogotomars.shtml,0
9,abbottandcostelloinhollywood,Abbott and Costello in Hollywood,1945,A-I,,Bud Abbott and Lou Costello play Los Angeles barbers who turn talent agents when they try to help a young singer (Robert Stanton) get a job. Director S. Sylvan Simon sets up a comic situation that goes nowhere as the boys clown their way through Metro-Goldwyn-Mayer's shooting stages and backlot with largely unamusing results. Slapstick humor. A-I (br) 1945,,a,a/abbottandcostelloinhollywood.shtml,0
10,abbottandcostellointheforeignlegion,Abbott and Costello in the Foreign Legion,,,,,,a,a/abbottandcostellointheforeignlegion.shtml,0
